threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,52325.20497598461,52325.20497598461,183.89010000000093,123407,6.88637037028518e-11,52325.20497598461,52325.20497598455,6.548361852765083e-11
1,41392.211856000366,52325.20497598461,183.89010000000093,5368,-79005.70818791997,52325.20497598461,120397.92004392034,-68072.71506793573
2,38365.91768000008,52325.20497598461,183.89010000000093,3203,-122768.17161075423,52325.20497598461,161134.08929075432,-108808.8843147697
3,36345.415244000134,52325.20497598461,183.89010000000093,2226,-124631.08557049464,52325.20497598461,160976.5008144948,-108651.29583851018
4,34633.79204800009,52325.20497598461,183.89010000000093,1769,-132384.29328864394,52325.20497598461,167018.08533664403,-114692.88036065942
5,32933.69689600008,52325.20497598461,183.89010000000093,1416,-106550.66483223643,52325.20497598461,139484.36172823652,-87159.1567522519
6,31340.98888000004,52325.20497598461,183.89010000000093,1158,-138804.519530184,52325.20497598461,170145.50841018406,-117820.30343419945
7,30428.099926000024,52325.20497598461,183.89010000000093,1015,-109511.13154359476,52325.20497598461,139939.2314695948,-87614.02649361017
8,29899.054756000078,52325.20497598461,183.89010000000093,920,-124178.337919489,52325.20497598461,154077.39267548907,-101752.18769950446
9,28844.023592000056,52325.20497598461,183.89010000000093,822,-127015.33637571166,52325.20497598461,155859.35996771173,-103534.15499172712
10,28187.690639999983,52325.20497598461,183.89010000000093,715,-95593.28543619128,52325.20497598461,123780.97607619126,-71455.77110020665
11,27415.239048,52325.20497598461,183.89010000000093,643,-99113.64805363407,52325.20497598461,126528.88710163407,-74203.68212564946
12,26196.306256,52325.20497598461,183.89010000000093,580,-125110.52724839984,52325.20497598461,151306.83350439984,-98981.62852841523
13,25108.927176000005,52325.20497598461,183.89010000000093,515,-48315.12053688981,52325.20497598461,73424.04771288982,-21098.842736905208
14,24029.65399799997,52325.20497598461,183.89010000000093,466,-54354.88389251003,52325.20497598461,78384.53789051,-26059.33291452538
15,23842.317059999998,52325.20497598461,183.89010000000093,433,-16306.049798641847,52325.20497598461,40148.36685864184,12176.83811734277
16,22869.185402000003,52325.20497598461,183.89010000000093,388,-32423.748456326703,52325.20497598461,55292.93385832671,-2967.7288823420968
17,22519.760141999985,52325.20497598461,183.89010000000093,370,-82713.60140941359,52325.20497598461,105233.36155141357,-52908.15657542896
18,21062.408472000003,52325.20497598461,183.89010000000093,332,-33034.87342279829,52325.20497598461,54097.281894798296,-1772.0769188136837
19,21022.041014000006,52325.20497598461,183.89010000000093,322,-43338.92550333393,52325.20497598461,64360.96651733393,-12035.761541349319
20,21149.575430000015,52325.20497598461,183.89010000000093,303,-69400.73060408414,52325.20497598461,90550.30603408415,-38225.101058099535
