Symbol,ExchangeSymbol,ExchangePrice
GBPJPY,USDJPY,149
EURNZD,NZDUSD,1.739190928
EURCAD,USDCAD,1.44418
EURGBP,GBPUSD,0.793657093
NZDCHF,USDCHF,0.89937
AUDNZD,NZDUSD,1.739190928
AUDJPY,USDJPY,149
EURCHF,USDCHF,0.89937
EURAUD,AUDUSD,1.610720959
CADJPY,USDJPY,149
AUDCAD,USDCAD,1.44418
NZDJPY,USDJPY,149
CHFJPY,USDJPY,149
GBPCAD,USDCAD,1.44418
GBPNZD,NZDUSD,1.739190928
GBPAUD,AUDUSD,1.610720959
GBPCHF,USDCHF,0.89937
AUDCHF,USDCHF,0.89937
NZDCAD,USDCAD,1.44418
CADCHF,USDCHF,0.89937
EURJPY,USDJPY,149
WTI,,1
US30,,1
SPA35,EURUSD,0.961640173
ESTOX,EURUSD,0.961640173
GERMAN,EURUSD,0.961640173
US500,,1
JP225Roll,USDJPY,149
AUS200Roll,AUDUSD,1.610720959
China50,,1
HKG.33,USDHKD,7.85036
