Symbol,FeeRate,Spread
XAUUSD,-4.704,10
GBPUSD,-2.032,3
EURUSD,-1.68,1
USDJPY,-1.6,2
GBPJPY,-2.032,8
EURNZD,-3.32,49
EURCAD,-3.31,27
EURGBP,-3.31,31
USDCHF,-3.21,21
NZDCHF,-1.81,37
AUDNZD,-2,63
AUDJPY,-2.01,29
EURCHF,-3.36,18
EURAUD,-3.34,27
AUDUSD,-2,25
CADJPY,-2.18,142
USDCAD,-3.22,30
NZDUSD,-1.87,14
AUDCAD,-2,21
NZDJPY,-1.89,70
CHFJPY,-3.54,33
XAGUSD,-4.67,50
GBPCAD,-4,52
GBPNZD,-4.01,115
GBPAUD,-3.99,28
GBPCHF,-4,49
AUDCHF,-1.98,32
NZDCAD,-1.81,56
CADCHF,-2.23,37
EURJPY,-3.34,21
USDMXN,-3.23,5232
BTCUSD,-1.53,34628
ETHUSD,-0.53,6580
WTI,-1.33,7
LTCUSD,-0.5,15000
BCHUSD,-1.33,610
US30,-6,320
SPA35,-5,1199
ESTOX,-0.93,16
GERMAN,-3.72,184
US500,-0.94,7
JP225Roll,-0.36,40
AUS200Roll,-0.94,21
China50,-2.66,500
HKG.33,-0.51,95
XRPUSD,-0.41,211
